,Name,packing_index
0,CCDC_1518988.lis,48.0
1,CCDC_1570661.lis,71.1
2,CCDC_1463749.lis,73.7
3,CCDC_654077.lis,66.4
4,CCDC_1281864.lis,67.1
5,CCDC_1535567.lis,65.1
6,CCDC_626600.lis,67.5
7,CCDC_746260.lis,66.2
8,CCDC_832211.lis,74.0
9,CCDC_219851.lis,67.0
10,CCDC_939360.lis,68.4
11,CCDC_706587.lis,70.2
12,CCDC_982565.lis,70.8
13,CCDC_952550.lis,68.9
14,CCDC_1537747.lis,64.7
15,CCDC_990320.lis,69.1
16,CCDC_1483661.lis,71.1
17,CCDC_1404295.lis,73.0
18,CCDC_221651.lis,71.1
19,CCDC_1507593.lis,65.6
20,CCDC_1028368.lis,69.9
21,CCDC_676948.lis,66.0
22,CCDC_636046.lis,71.6
23,CCDC_122372.lis,73.5
24,CCDC_919587.lis,69.2
25,CCDC_1053308.lis,69.3
26,CCDC_808335.lis,69.1
27,CCDC_285563.lis,69.6
28,CCDC_1030022.lis,68.3
29,CCDC_802718.lis,66.6
30,CCDC_1402573.lis,69.7
31,CCDC_663253.lis,68.0
32,CCDC_871180.lis,68.2
33,CCDC_1820589.lis,67.8
34,CCDC_819038.lis,74.0
35,CCDC_634364.lis,71.8
36,CCDC_964635.lis,69.6
37,CCDC_211987.lis,71.7
38,CCDC_964003.lis,70.5
39,CCDC_647941.lis,69.7
40,CCDC_739700.lis,70.6
41,CCDC_717913.lis,67.2
42,CCDC_1529793.lis,70.5
43,CCDC_684400.lis,73.9
44,CCDC_1582175.lis,69.6
45,CCDC_655122.lis,69.2
46,CCDC_1869202.lis,44.2
47,CCDC_1239758.lis,66.5
48,CCDC_1500565.lis,69.5
49,CCDC_814419.lis,70.5
50,CCDC_1426021.lis,65.5
51,CCDC_1445126.lis,71.4
52,CCDC_662595.lis,69.4
53,CCDC_1541834.lis,62.5
54,CCDC_280495.lis,68.0
55,CCDC_172566.lis,76.6
56,CCDC_802937.lis,70.6
57,CCDC_1011379.lis,71.1
58,CCDC_1477309.lis,70.1
59,CCDC_1573298.lis,72.3
60,CCDC_707857.lis,73.1
61,CCDC_932472.lis,74.6
62,CCDC_232799.lis,69.4
63,CCDC_1475781.lis,69.1
64,CCDC_865519.lis,68.2
65,CCDC_1269190.lis,67.4
66,CCDC_693587.lis,76.4
67,CCDC_144394.lis,68.5
68,CCDC_1225948.lis,62.9
69,CCDC_655507.lis,54.4
70,CCDC_767775.lis,70.1
71,CCDC_1155251.lis,65.8
72,CCDC_282264.lis,69.9
73,CCDC_988532.lis,70.8
