,Name,solvent_area_number
0,CCDC_1518988.lis,915.4
1,CCDC_1570661.lis,25.5
2,CCDC_1463749.lis,22.8
3,CCDC_1281864.lis,44.8
4,CCDC_626600.lis,54.9
5,CCDC_1507593.lis,32.8
6,CCDC_1028368.lis,25.9
7,CCDC_676948.lis,395.8
8,CCDC_1030022.lis,14.6
9,CCDC_663253.lis,78.6
10,CCDC_647941.lis,47.6
11,CCDC_1869202.lis,2324.5
12,CCDC_1239758.lis,55.9
13,CCDC_1500565.lis,93.7
14,CCDC_1426021.lis,203.1
15,CCDC_662595.lis,31.0
16,CCDC_1541834.lis,95.1
17,CCDC_1477309.lis,20.8
18,CCDC_865519.lis,38.8
19,CCDC_655507.lis,1471.0
20,CCDC_793788.lis,28.1
21,CCDC_809423.lis,1793.1
22,CCDC_708936.lis,14.5
23,CCDC_1033614.lis,53.8
24,CCDC_963501.lis,42.7
25,CCDC_927383.lis,60.3
26,CCDC_851346.lis,234.2
27,CCDC_802054.lis,658.7
28,CCDC_218998.lis,101.8
29,CCDC_1034030.lis,900.4
30,CCDC_1228118.lis,68.8
31,CCDC_927735.lis,181.7
32,CCDC_693065.lis,909.6
33,CCDC_721197.lis,192.7
34,CCDC_737643.lis,507.6
35,CCDC_931186.lis,107.6
36,CCDC_647754.lis,35.3
37,CCDC_1517969.lis,190.6
38,CCDC_139104.lis,56.2
39,CCDC_1546632.lis,1227.7
40,CCDC_1542042.lis,142.7
41,CCDC_169022.lis,46.7
42,CCDC_1424402.lis,306.9
43,CCDC_970719.lis,68.5
44,CCDC_885044.lis,266.0
45,CCDC_261101.lis,17.8
46,CCDC_1512987.lis,41.0
47,CCDC_173819.lis,64.9
48,CCDC_1529051.lis,14.5
49,CCDC_1475683.lis,21.1
50,CCDC_1850777.lis,1110.0
51,CCDC_289792.lis,40.0
52,CCDC_124458.lis,63.1
53,CCDC_1529048.lis,179.0
54,CCDC_856023.lis,54.1
55,CCDC_1876196.lis,32.9
56,CCDC_1142813.lis,135.3
57,CCDC_726860.lis,150.5
58,CCDC_1129181.lis,32.0
59,CCDC_650309.lis,58.5
60,CCDC_192771.lis,22.6
61,CCDC_1835891.lis,49.1
62,CCDC_607252.lis,296.6
63,CCDC_679912.lis,78.6
64,CCDC_842123.lis,778.0
65,CCDC_646394.lis,105.0
66,CCDC_781165.lis,152.2
67,CCDC_743330.lis,257.8
68,CCDC_135471.lis,246.7
69,CCDC_1572404.lis,19.6
70,CCDC_173960.lis,23.4
71,CCDC_773804.lis,36.2
72,CCDC_1559542.lis,46.5
73,CCDC_955475.lis,92.4
74,CCDC_948140.lis,206.9
75,CCDC_1406064.lis,182.0
76,CCDC_199158.lis,954.2
77,CCDC_163482.lis,50.6
78,CCDC_1846548.lis,961.1
79,CCDC_778084.lis,20.1
80,CCDC_1498412.lis,82.5
81,CCDC_1541749.lis,14070.3
82,CCDC_875919.lis,91.3
83,CCDC_169978.lis,177.7
84,CCDC_1825572.lis,82.9
85,CCDC_627512.lis,3383.0
86,CCDC_1475378.lis,93.7
87,CCDC_940143.lis,517.0
88,CCDC_235176.lis,137.3
89,CCDC_647747.lis,5637.4
90,CCDC_750327.lis,52.0
91,CCDC_1470435.lis,22.2
92,CCDC_150589.lis,33.2
93,CCDC_909704.lis,63.2
94,CCDC_722696.lis,29.0
95,CCDC_950263.lis,55.3
96,CCDC_1425644.lis,29.0
97,CCDC_1839196.lis,3114.6
98,CCDC_1012248.lis,1898.2
99,CCDC_670282.lis,16.4
100,CCDC_1013761.lis,444.3
101,CCDC_646444.lis,32.4
102,CCDC_1408795.lis,705.9
103,CCDC_1565031.lis,828.6
104,CCDC_1020976.lis,18789.8
105,CCDC_809157.lis,977.5
106,CCDC_1571710.lis,72.6
107,CCDC_130153.lis,217.3
108,CCDC_1537144.lis,24206.3
109,CCDC_865516.lis,43.1
110,CCDC_1108973.lis,152.4
111,CCDC_828460.lis,56.9
112,CCDC_1015200.lis,42.3
113,CCDC_875920.lis,752.5
114,CCDC_840707.lis,44.7
115,CCDC_922130.lis,14.3
116,CCDC_907980.lis,387.6
117,CCDC_611430.lis,28.8
118,CCDC_1578128.lis,218.9
119,CCDC_1848650.lis,28.9
120,CCDC_1469084.lis,92.0
121,CCDC_283151.lis,77.2
122,CCDC_1585272.lis,1572.7
123,CCDC_1518978.lis,963.3
124,CCDC_1515311.lis,411.1
125,CCDC_1029564.lis,49.0
126,CCDC_827381.lis,53.9
127,CCDC_808944.lis,14.8
128,CCDC_1037713.lis,28.1
129,CCDC_710953.lis,28.7
130,CCDC_639849.lis,411.7
131,CCDC_836930.lis,115.5
132,CCDC_681936.lis,113.0
133,CCDC_841890.lis,14.5
134,CCDC_220808.lis,50.4
135,CCDC_619038.lis,40.4
136,CCDC_625808.lis,36.0
137,CCDC_221827.lis,18.5
138,CCDC_1415064.lis,71.0
139,CCDC_1585581.lis,354.5
140,CCDC_662918.lis,16252.8
141,CCDC_655795.lis,48.4
142,CCDC_1840825.lis,114.4
143,CCDC_828408.lis,49.9
144,CCDC_1435820.lis,534.3
145,CCDC_1402201.lis,380.8
146,CCDC_766959.lis,22776.2
147,CCDC_1478359.lis,2141.2
148,CCDC_179726.lis,57.9
149,CCDC_193229.lis,55.1
150,CCDC_1578127.lis,191.2
