,Hbond,atom1,atom2,bond_length,crystal
0,NH,N65,H121,2.110369519970996,Rb
1,NH,N65,H125,2.1429114702153718,Rb
2,NH,N65,H129,2.5309606149978374,Rb
3,NH,N65,H133,3.397352492238607,Rb
4,NH,N65,H137,2.482318982359158,Rb
5,NH,N65,H157,2.722521368074974,Rb
6,NH,N66,H122,2.1103695300238736,Rb
7,NH,N66,H126,2.142911211038636,Rb
8,NH,N66,H130,2.5309608336387783,Rb
9,NH,N66,H134,3.3973522263397986,Rb
10,NH,N66,H138,2.482319147468157,Rb
11,NH,N66,H158,2.7225217005199283,Rb
12,NH,N67,H123,2.1103695199709964,Rb
13,NH,N67,H127,2.1429114702153718,Rb
14,NH,N67,H131,2.5309609218621154,Rb
15,NH,N67,H135,3.397352226339813,Rb
16,NH,N67,H139,2.4823189823591583,Rb
17,NH,N67,H159,2.722521165303623,Rb
18,NH,N68,H124,2.1103695300238736,Rb
19,NH,N68,H128,2.142911211038636,Rb
20,NH,N68,H132,2.5309605267744892,Rb
21,NH,N68,H136,3.397352492238593,Rb
22,NH,N68,H140,2.482319147468157,Rb
23,NH,N68,H160,2.7225219032912396,Rb
24,NH,N69,H113,2.143021989159122,Rb
25,NH,N69,H117,2.140111109690898,Rb
26,NH,N69,H133,2.4993597732772037,Rb
27,NH,N69,H137,3.406541422657657,Rb
28,NH,N69,H141,2.530596080418271,Rb
29,NH,N69,H145,2.667441027312059,Rb
30,NH,N70,H114,2.143021694367171,Rb
31,NH,N70,H118,2.1401108136274067,Rb
32,NH,N70,H134,2.4993596432112803,Rb
33,NH,N70,H138,3.4065412894403573,Rb
34,NH,N70,H142,2.530595998867474,Rb
35,NH,N70,H146,2.6674411312825606,Rb
36,NH,N71,H115,2.143021939089666,Rb
37,NH,N71,H119,2.140111109690897,Rb
38,NH,N71,H135,2.4993598157627903,Rb
39,NH,N71,H139,3.4065412894403577,Rb
40,NH,N71,H143,2.5305959213450575,Rb
41,NH,N71,H147,2.6674411312826827,Rb
42,NH,N72,H116,2.1430216943671714,Rb
43,NH,N72,H120,2.1401108136274067,Rb
44,NH,N72,H136,2.4993595582401307,Rb
45,NH,N72,H140,3.4065412894403577,Rb
46,NH,N72,H144,2.5305959988674736,Rb
47,NH,N72,H148,2.6674409233413177,Rb
48,OH,O41,H115,3.248529362154503,Rb
49,OH,O41,H131,2.5356683975540264,Rb
50,OH,O41,H137,3.1350383369174093,Rb
51,OH,O42,H116,3.248529823558155,Rb
52,OH,O42,H132,2.5356684835590735,Rb
53,OH,O42,H138,3.135038336917455,Rb
54,OH,O43,H113,3.2485293621545037,Rb
55,OH,O43,H129,2.535668483559074,Rb
56,OH,O43,H139,3.1350383369174093,Rb
57,OH,O44,H114,3.2485298235581554,Rb
58,OH,O44,H130,2.5356683975540264,Rb
59,OH,O44,H140,3.135038336917455,Rb
60,OH,O45,H113,3.1178027897323917,Rb
61,OH,O45,H117,2.757144325182803,Rb
62,OH,O45,H127,2.632155299057834,Rb
63,OH,O46,H114,3.1178024159661684,Rb
64,OH,O46,H118,2.7571440924547743,Rb
65,OH,O46,H128,2.632155318854949,Rb
66,OH,O47,H115,3.1178024858924864,Rb
67,OH,O47,H119,2.757144174570805,Rb
68,OH,O47,H125,2.6321553320530344,Rb
69,OH,O48,H116,3.117802598270123,Rb
70,OH,O48,H120,2.7571442731891436,Rb
71,OH,O48,H126,2.632155299057833,Rb
72,OH,O49,H115,2.606724988546928,Rb
73,OH,O49,H121,2.7901715309092503,Rb
74,OH,O49,H125,3.1360604788489908,Rb
75,OH,O50,H116,2.6067249654714546,Rb
76,OH,O50,H122,2.7901715379023893,Rb
77,OH,O50,H126,3.1360602854554913,Rb
78,OH,O51,H113,2.606724988546928,Rb
79,OH,O51,H123,2.7901715309092503,Rb
80,OH,O51,H127,3.136060478848991,Rb
81,OH,O52,H114,2.606724965471454,Rb
82,OH,O52,H124,2.7901715379023893,Rb
83,OH,O52,H128,3.1360602854554913,Rb
84,OH,O53,H127,3.134195534600102,Rb
85,OH,O53,H133,3.315960297192836,Rb
86,OH,O53,H143,2.508807748442615,Rb
87,OH,O54,H128,3.134195555838946,Rb
88,OH,O54,H134,3.3159601777025065,Rb
89,OH,O54,H144,2.5088071347929297,Rb
90,OH,O55,H125,3.1341955623029514,Rb
91,OH,O55,H135,3.315960297192904,Rb
92,OH,O55,H141,2.508807822040897,Rb
93,OH,O56,H126,3.1341955346001016,Rb
94,OH,O56,H136,3.315960111198176,Rb
95,OH,O56,H142,2.508807078367581,Rb
96,OH,O57,H121,2.532160376451331,Rb
97,OH,O57,H137,2.6746060509423137,Rb
98,OH,O57,H141,2.613073959805292,Rb
99,OH,O57,H145,2.0750764860355475,Rb
100,OH,O57,H149,2.091841715207027,Rb
101,OH,O57,H173,1.9597807714139703,Rb
102,OH,O57,H177,2.0934562684366167,Rb
103,OH,O57,H181,1.9502603742470768,Rb
104,OH,O58,H122,2.5321603764512814,Rb
105,OH,O58,H138,2.674605628731172,Rb
106,OH,O58,H142,2.6130739801642204,Rb
107,OH,O58,H146,2.0750761638602095,Rb
108,OH,O58,H150,2.0918419014102283,Rb
109,OH,O58,H174,1.9597807486405796,Rb
110,OH,O58,H178,2.0934562503261427,Rb
111,OH,O58,H182,1.950261127994975,Rb
112,OH,O59,H123,2.532160376451331,Rb
113,OH,O59,H139,2.6746060509423137,Rb
114,OH,O59,H143,2.6130739598052926,Rb
115,OH,O59,H147,2.0750761732370613,Rb
116,OH,O59,H151,2.0918417152070266,Rb
117,OH,O59,H175,1.9597807714139706,Rb
118,OH,O59,H179,2.0934562684366167,Rb
119,OH,O59,H183,1.9502603742470768,Rb
120,OH,O60,H124,2.5321603764512814,Rb
121,OH,O60,H140,2.674605628731172,Rb
122,OH,O60,H144,2.6130739801642204,Rb
123,OH,O60,H148,2.0750764766586967,Rb
124,OH,O60,H152,2.0918419014102283,Rb
125,OH,O60,H176,1.9597807486405796,Rb
126,OH,O60,H180,2.0934562503261427,Rb
127,OH,O60,H184,1.9502611279949746,Rb
128,OH,O61,H117,2.491215098529789,Rb
129,OH,O61,H129,2.613838393457225,Rb
130,OH,O61,H133,2.697436010375967,Rb
131,OH,O61,H153,2.06885296748963,Rb
132,OH,O61,H157,2.0967248105068896,Rb
133,OH,O61,H161,2.062776169683309,Rb
134,OH,O61,H165,1.9915846226385847,Rb
135,OH,O61,H169,2.04296140146748,Rb
136,OH,O62,H118,2.491215185779222,Rb
137,OH,O62,H130,2.613837736344141,Rb
138,OH,O62,H134,2.697436199191081,Rb
139,OH,O62,H154,2.0688532781530715,Rb
140,OH,O62,H158,2.096725334021743,Rb
141,OH,O62,H162,2.0627769696514293,Rb
142,OH,O62,H166,1.991584672779579,Rb
143,OH,O62,H170,2.042961361442056,Rb
144,OH,O63,H119,2.4912151785282095,Rb
145,OH,O63,H131,2.6138383195837798,Rb
146,OH,O63,H135,2.6974361849094204,Rb
147,OH,O63,H155,2.06885308551735,Rb
148,OH,O63,H159,2.096725286366454,Rb
149,OH,O63,H163,2.062776034552392,Rb
150,OH,O63,H167,1.991584692237749,Rb
151,OH,O63,H171,2.0429613832750557,Rb
152,OH,O64,H120,2.491215185779222,Rb
153,OH,O64,H132,2.613837889367689,Rb
154,OH,O64,H136,2.6974360828354285,Rb
155,OH,O64,H156,2.0688532781530715,Rb
156,OH,O64,H160,2.0967250167820146,Rb
157,OH,O64,H164,2.0627769696514298,Rb
158,OH,O64,H168,1.9915846263801227,Rb
159,OH,O64,H172,2.042961361442056,Rb
160,FH,F17,H166,2.7816418950607,Rb
161,FH,F17,H170,2.959232334792391,Rb
162,FH,F17,H181,2.769594328706233,Rb
163,FH,F18,H165,2.781640398378579,Rb
164,FH,F18,H169,2.9592311771517856,Rb
165,FH,F18,H182,2.7695940500887075,Rb
166,FH,F19,H168,2.781641705140666,Rb
167,FH,F19,H172,2.959232301877271,Rb
168,FH,F19,H183,2.769594033578604,Rb
169,FH,F20,H167,2.781640562976024,Rb
170,FH,F20,H171,2.959231201289553,Rb
171,FH,F20,H184,2.769594266515642,Rb
172,FH,F21,H161,2.60560840069736,Rb
173,FH,F22,H162,2.605608713273866,Rb
174,FH,F23,H163,2.6056084398503865,Rb
175,FH,F24,H164,2.605608713273866,Rb
176,FH,F25,H133,2.8889528052747315,Rb
177,FH,F25,H169,2.8967355611360186,Rb
178,FH,F26,H134,2.8889535561456343,Rb
179,FH,F26,H170,2.896735172725381,Rb
180,FH,F27,H135,2.888953116633584,Rb
181,FH,F27,H171,2.8967355953094733,Rb
182,FH,F28,H136,2.8889533283220947,Rb
183,FH,F28,H172,2.896735172725382,Rb
184,FH,F29,H121,2.7808731358240917,Rb
185,FH,F29,H177,2.8489283129777045,Rb
186,FH,F29,H178,2.593238832193942,Rb
187,FH,F29,H181,2.8828318307561753,Rb
188,FH,F30,H122,2.780873119963459,Rb
189,FH,F30,H177,2.593238832193805,Rb
