,Name,packing_index
0,CCDC_1833485.lis,65.2
1,CCDC_1478177.lis,70.7
2,CCDC_1813294.lis,70.3
3,CCDC_1856685.lis,67.0
4,CCDC_1059656.lis,53.7
5,CCDC_1855548.lis,63.9
6,CCDC_1851530.lis,64.5
7,CCDC_1059659.lis,53.9
8,CCDC_1861549.lis,56.5
9,CCDC_1854797.lis,77.9
10,CCDC_1837142.lis,61.5
11,CCDC_1855547.lis,67.7
12,CCDC_1588156.lis,69.7
13,CCDC_1857473.lis,68.9
14,CCDC_1575779.lis,51.1
15,CCDC_1813461.lis,69.4
16,CCDC_1006769.lis,75.4
17,CCDC_1587413.lis,70.2
18,CCDC_1854795.lis,69.7
19,CCDC_1837148.lis,59.3
20,CCDC_1589893.lis,68.9
21,CCDC_1475061.lis,63.8
22,CCDC_1825210.lis,63.1
23,CCDC_1589894.lis,58.0
24,CCDC_1815957.lis,68.1
25,CCDC_1854774.lis,68.7
26,CCDC_1568880.lis,54.7
27,CCDC_1811194.lis,61.2
28,CCDC_967513.lis,64.3
29,CCDC_1582464.lis,67.0
30,CCDC_1818774.lis,65.3
31,CCDC_1843003.lis,66.1
32,CCDC_1814392.lis,68.9
33,CCDC_1837144.lis,58.2
34,CCDC_1865522.lis,28.4
35,CCDC_1811203.lis,60.3
36,CCDC_1575907.lis,65.2
37,CCDC_1845406.lis,69.0
38,CCDC_1811550.lis,68.4
39,CCDC_1851077.lis,71.2
40,CCDC_1854798.lis,68.9
41,CCDC_1553194.lis,65.8
42,CCDC_1855159.lis,73.9
43,CCDC_1837146.lis,59.7
44,CCDC_1837138.lis,61.2
45,CCDC_1837137.lis,51.6
46,CCDC_1851072.lis,69.4
47,CCDC_1471324.lis,65.2
48,CCDC_1837134.lis,59.2
49,CCDC_1815959.lis,66.0
50,CCDC_1811552.lis,65.7
51,CCDC_1855561.lis,66.9
52,CCDC_1851529.lis,41.4
53,CCDC_1821405.lis,76.4
54,CCDC_1851145.lis,69.1
55,CCDC_1850117.lis,55.2
56,CCDC_1587414.lis,73.3
57,CCDC_1819247.lis,51.5
58,CCDC_1811202.lis,49.0
59,CCDC_1575780.lis,51.4
60,CCDC_1811193.lis,53.2
61,CCDC_1850172.lis,64.5
62,CCDC_1414743.lis,63.4
63,CCDC_1855546.lis,68.0
64,CCDC_1837136.lis,58.6
65,CCDC_1811191.lis,68.7
66,CCDC_1576687.lis,66.6
67,CCDC_1561864.lis,67.7
68,CCDC_1815958.lis,58.9
69,CCDC_1837135.lis,58.5
70,CCDC_1856418.lis,68.6
71,CCDC_1862095.lis,66.4
72,CCDC_1560072.lis,68.2
73,CCDC_1860133.lis,66.3
74,CCDC_1059655.lis,53.6
75,CCDC_1811204.lis,67.3
76,CCDC_1850116.lis,54.1
77,CCDC_1843004.lis,68.4
78,CCDC_1871234.lis,70.2
79,CCDC_1811212.lis,55.7
80,CCDC_1837143.lis,58.8
81,CCDC_1812143.lis,71.5
82,CCDC_1811547.lis,64.5
83,CCDC_1860131.lis,60.9
84,CCDC_1589445.lis,71.7
85,CCDC_1861548.lis,69.4
86,CCDC_1502121.lis,67.8
87,CCDC_1811551.lis,67.2
88,CCDC_1855549.lis,69.8
89,CCDC_1553193.lis,67.7
90,CCDC_1845405.lis,72.5
91,CCDC_1571860.lis,70.0
92,CCDC_1855554.lis,66.0
93,CCDC_1837140.lis,58.5
94,CCDC_1853639.lis,66.5
95,CCDC_1871571.lis,68.4
96,CCDC_1853458.lis,67.3
97,CCDC_1837147.lis,58.3
98,CCDC_1860361.lis,59.6
99,CCDC_1857472.lis,39.4
100,CCDC_1832228.lis,70.9
101,CCDC_936857.lis,67.9
102,CCDC_1855557.lis,68.7
103,CCDC_1862097.lis,68.3
104,CCDC_1571861.lis,66.4
105,CCDC_1813296.lis,70.7
106,CCDC_1854302.lis,69.2
107,CCDC_1819366.lis,65.3
108,CCDC_1813297.lis,71.2
109,CCDC_1859497.lis,71.5
110,CCDC_1855551.lis,66.5
111,CCDC_1589892.lis,68.1
112,CCDC_1811205.lis,63.4
113,CCDC_1811192.lis,69.1
114,CCDC_1811556.lis,66.0
115,CCDC_1848535.lis,71.7
116,CCDC_1568405.lis,60.0
117,CCDC_1855034.lis,55.9
118,CCDC_1855553.lis,68.6
119,CCDC_1848253.lis,73.5
120,CCDC_1553195.lis,62.0
121,CCDC_1837145.lis,57.7
122,CCDC_1871240.lis,59.1
123,CCDC_1811549.lis,63.1
124,CCDC_1819248.lis,66.6
125,CCDC_1821406.lis,71.4
126,CCDC_1560840.lis,67.1
127,CCDC_1814390.lis,66.1
128,CCDC_1832752.lis,67.0
129,CCDC_1831321.lis,64.0
130,CCDC_1859502.lis,73.1
131,CCDC_1569330.lis,69.4
132,CCDC_1855552.lis,68.8
133,CCDC_1837149.lis,59.4
134,CCDC_1851425.lis,75.1
135,CCDC_1589891.lis,66.8
136,CCDC_1548599.lis,68.7
137,CCDC_1816349.lis,63.9
138,CCDC_1557215.lis,52.5
